blue,country,fips,green,hex_code,hsv/0,hsv/1,hsv/2,hue,img,lat,lng,red,saturation,value
0.294117647059,Afghanistan,AF,0.4,6d664b,0.132352941176,0.311926605505,0.427450980392,0.132352941176,AF.png,33.8388058589,66.0264709848,0.427450980392,0.311926605505,0.427450980392
0.341176470588,Albania,AL,0.333333333333,545557,0.611111111111,0.0344827586207,0.341176470588,0.611111111111,AL.png,41.1422845912,20.0683841514,0.329411764706,0.0344827586207,0.341176470588
0.403921568627,Algeria,AG,0.490196078431,8f7d67,0.0916666666667,0.27972027972,0.560784313725,0.0916666666667,AG.png,28.1632395889,2.6323881222,0.560784313725,0.27972027972,0.560784313725
0.2,American Samoa,AQ,0.243137254902,373e33,0.272727272727,0.177419354839,0.243137254902,0.272727272727,AQ.png,-14.3044053954,-170.707833227,0.21568627451,0.177419354839,0.243137254902
0.227450980392,Andorra,AN,0.349019607843,50593a,0.215053763441,0.348314606742,0.349019607843,0.215053763441,AN.png,42.54865426,1.5767665021,0.313725490196,0.348314606742,0.349019607843
0.36862745098,Angola,AO,0.36862745098,575e5e,0.5,0.0744680851064,0.36862745098,0.5,AO.png,-12.2952856818,17.5446760208,0.341176470588,0.0744680851064,0.36862745098
0.23137254902,Anguilla,AV,0.278431372549,3d473b,0.305555555556,0.169014084507,0.278431372549,0.305555555556,AV.png,18.2228744511,-63.0600807006,0.239215686275,0.169014084507,0.278431372549
0.266666666667,Antigua & Barbuda,AC,0.125490196078,172044,0.633333333333,0.661764705882,0.266666666667,0.633333333333,AC.png,17.2798156269,-61.791237924,0.0901960784314,0.661764705882,0.266666666667
0.219607843137,Argentina,AR,0.286274509804,394938,0.323529411765,0.232876712329,0.286274509804,0.323529411765,AR.png,-35.376437289,-65.1677275197,0.223529411765,0.232876712329,0.286274509804
0.286274509804,Armenia,AM,0.41568627451,606a49,0.217171717172,0.311320754717,0.41568627451,0.217171717172,AM.png,40.2862004973,44.9473915019,0.376470588235,0.311320754717,0.41568627451
0.372549019608,Aruba,AA,0.43137254902,786e5f,0.1,0.208333333333,0.470588235294,0.1,AA.png,12.5156286292,-69.9756409642,0.470588235294,0.208333333333,0.470588235294
0.364705882353,Australia,AS,0.36862745098,735e5d,0.00757575757576,0.191304347826,0.450980392157,0.00757575757576,AS.png,-25.7349685465,134.4895627824,0.450980392157,0.191304347826,0.450980392157
0.266666666667,Austria,AU,0.325490196078,495344,0.277777777778,0.180722891566,0.325490196078,0.277777777778,AU.png,47.5929026313,14.1401917728,0.286274509804,0.180722891566,0.325490196078
0.43137254902,Azerbaijan,AJ,0.552941176471,968d6e,0.129166666667,0.266666666667,0.588235294118,0.129166666667,AJ.png,40.2969909006,48.8198273256,0.588235294118,0.266666666667,0.588235294118
0.737254901961,Bahrain,BA,0.78431372549,dbc8bc,0.0645161290323,0.141552511416,0.858823529412,0.0645161290323,BA.png,26.0224069283,50.559643947,0.858823529412,0.141552511416,0.858823529412
0.243137254902,Baker I.,FQ,0.125490196078,1d203e,0.651515151515,0.532258064516,0.243137254902,0.651515151515,FQ.png,0.2190971722,-176.4616444906,0.113725490196,0.532258064516,0.243137254902
0.407843137255,Bangladesh,BG,0.43137254902,666e68,0.375,0.0727272727273,0.43137254902,0.375,BG.png,23.8432327493,90.2684982586,0.4,0.0727272727273,0.43137254902
0.207843137255,Barbados,BB,0.345098039216,4d5835,0.219047619048,0.397727272727,0.345098039216,0.219047619048,BB.png,13.1787146982,-59.561954658,0.301960784314,0.397727272727,0.345098039216
0.345098039216,Belarus,BO,0.462745098039,677658,0.25,0.254237288136,0.462745098039,0.25,BO.png,53.5399976559,28.046787503,0.403921568627,0.254237288136,0.462745098039
0.223529411765,Belgium,BE,0.341176470588,395739,0.333333333333,0.344827586207,0.341176470588,0.333333333333,BE.png,50.6428512328,4.6639886769,0.223529411765,0.344827586207,0.341176470588
0.152941176471,Belize,BH,0.250980392157,214027,0.365591397849,0.484375,0.250980392157,0.365591397849,BH.png,17.2176683696,-88.6847662307,0.129411764706,0.484375,0.250980392157
0.313725490196,Benin,BN,0.376470588235,4a6050,0.378787878788,0.229166666667,0.376470588235,0.378787878788,BN.png,9.6473194709,2.3431346425,0.290196078431,0.229166666667,0.376470588235
0.223529411765,Bermuda,BD,0.270588235294,344539,0.382352941176,0.246376811594,0.270588235294,0.382352941176,BD.png,32.3160852682,-64.7396065879,0.203921568627,0.246376811594,0.270588235294
0.125490196078,Bhutan,BT,0.125490196078,182020,0.5,0.25,0.125490196078,0.5,BT.png,27.4154148028,90.4294341107,0.0941176470588,0.25,0.125490196078
0.23137254902,Bolivia,BL,0.309803921569,334f3b,0.380952380952,0.354430379747,0.309803921569,0.380952380952,BL.png,-16.7146100726,-64.6709324867,0.2,0.354430379747,0.309803921569
0.341176470588,Bosnia & Herzegovina,BK,0.380392156863,566157,0.348484848485,0.113402061856,0.380392156863,0.348484848485,BK.png,44.1681150713,17.7865309991,0.337254901961,0.113402061856,0.380392156863
0.462745098039,Botswana,BC,0.494117647059,7c7e76,0.208333333333,0.0634920634921,0.494117647059,0.208333333333,BC.png,-22.1820037049,23.8150278309,0.486274509804,0.0634920634921,0.494117647059
0.796078431373,Bouvet I.,BV,0.835294117647,cad5cb,0.348484848485,0.0516431924883,0.835294117647,0.348484848485,BV.png,-54.421904825,3.4125220127,0.792156862745,0.0516431924883,0.835294117647
0.21568627451,Brazil,BR,0.282352941176,394837,0.313725490196,0.236111111111,0.282352941176,0.313725490196,BR.png,-10.7731087469,-53.0898196579,0.223529411765,0.236111111111,0.282352941176
